"","lon","lat","zip","id","result","zipcode"
"460",12.5741860789921,55.6818982960363,1172,432409,"Købmagergade 65B, 1150 København K, Denmark"," 1150 "
"461",12.571426336723,55.6783532808493,1172,6881244,"Gammeltorv 18, 1457 København K, Denmark"," 1457 "
"462",12.575283963877,55.6800665763156,1172,2618043,"Kejsergade 1, 1155 København K, Denmark"," 1155 "
"463",12.5723866267748,55.6799596605097,1172,2491311,"Hovedbygningen, 1165 København K, Denmark"," 1165 "
"464",12.5749291932713,55.6814824651834,1172,2886912,"Købmagergade 55, 1150 København K, Denmark"," 1150 "
"465",12.5720120366937,55.6819314571529,1171,12908190,"Fiolstræde 23A, 1171 København K, Denmark"," 1171 "
"466",12.5725829302879,55.683112729939,1171,11755663,"Frederiksborggade 9, 1360 København K, Denmark"," 1360 "
"467",12.5729123875387,55.6814972352185,1171,9455327,"Fiolstræde 28A, 1171 København K, Denmark"," 1171 "
"468",12.5711853460125,55.6817027067497,1171,3833152,"Nørregade 41-43, 1358 København K, Denmark"," 1358 "
"469",12.5739883062311,55.6805409079757,1171,3041949,"Store Kannikestræde 14G, 1169 København K, Denmark"," 1169 "
"470",12.5734400435299,55.6817640051399,1171,13593422,"Peder Hvitfeldts Stræde 11, 1173 København K, Denmark"," 1173 "
"471",12.5732644439616,55.6803544339059,1171,8218669,"Fiolstræde 10, 1171 København K, Denmark"," 1171 "
"472",12.5733193269304,55.6801305424298,1171,12183138,"Fiolstræde 8, 1171 København K, Denmark"," 1171 "
"473",12.573251032384,55.6813345576771,1171,13358421,"Krystalgade 12, 1172 København K, Denmark"," 1172 "
"474",12.573223909696,55.6819572551882,1171,6112867,"Peder Hvitfeldts Stræde 15, 1173 København K, Denmark"," 1173 "
"475",12.5710585021213,55.6822134764186,1171,9649441,"Nørre Voldgade 68, 1358 København K, Denmark"," 1358 "
"476",12.5728574645745,55.6825332773189,1171,7697709,"Rosengården 12, 1174 København K, Denmark"," 1174 "
"477",12.5712944656503,55.6823090422618,1171,7028213,"Nørre Voldgade 68, 1358 København K, Denmark"," 1358 "
"478",12.5727236210749,55.6828560259044,1171,2939998,"Frederiksborggade 5B, 1360 København K, Denmark"," 1360 "
"479",12.5735742504321,55.6796680431033,1171,5125493,"Fiolstræde 4, 1171 København K, Denmark"," 1171 "
"480",12.57258085238,55.6810166054238,1171,12994230,"Fiolstræde 5, 1171 København K, Denmark"," 1171 "
"481",12.5717031855572,55.6817221776345,1171,2452011,"Nørregade 28C, 1165 København K, Denmark"," 1165 "
"482",12.5719032400829,55.679788895794,1171,13260985,"Nørregade 15, 1165 København K, Denmark"," 1165 "
"483",12.5733166331348,55.6808062258466,1171,8947133,"Krystalgade 19, 1172 København K, Denmark"," 1172 "
"484",12.574279819581,55.6815512104991,1169,10827832,"Købmagergade 57A, 1150 København K, Denmark"," 1150 "
"485",12.5728651907623,55.6799789676981,1166,5898553,"Hovedbygningen, 1165 København K, Denmark"," 1165 "
"486",12.5719301804034,55.681621467758,1165,8843553,"Fiolstræde 17B, 1171 København K, Denmark"," 1171 "
"487",12.5708263325581,55.6805759772047,1165,13588979,"Sankt Petri Passage 5, 1165 København K, Denmark"," 1165 "
